domain_name,Carleton_response_addresses,Google_response_addresses,TTL_Carleton,TTL_Google
bidswitch.net.,34.160.122.192,34.160.122.192,120,24
smartadserver.com.,34.160.41.36,34.160.41.36,600,600
tiktokpangle.us.,,,-1,-1
trafficmanager.net.,,,-1,-1
baidu.com.,182.61.202.236;182.61.244.149;182.61.202.46;182.61.244.44,182.61.244.149;182.61.202.236;182.61.202.46;182.61.244.44,600,93
instantmessaging-pa.googleapis.com.,216.239.32.223;216.239.38.223;216.239.36.223;216.239.34.223,216.239.34.223;216.239.32.223;216.239.36.223;216.239.38.223,66,300
locationhistory-pa.googleapis.com.,172.217.1.106;172.217.4.74;142.250.190.10;142.250.190.74;172.217.2.42;142.250.191.138;172.217.5.10;172.217.4.202;142.251.32.10;142.250.190.138;172.217.4.42;142.251.34.234;142.250.191.106;142.250.190.106;142.250.190.42;142.250.191.234,172.217.4.202;142.250.190.74;142.250.191.202;142.250.190.42;142.251.32.10;172.217.1.106;142.250.191.170;142.250.191.234;172.217.4.42;142.250.191.138;142.250.190.106;142.250.190.138;142.250.191.106;172.217.5.10;142.250.190.10;172.217.2.42,258,300
azure.net.,20.236.44.162;20.70.246.20;20.76.201.171;20.231.239.246;20.112.250.133,20.112.250.133;20.76.201.171;20.70.246.20;20.236.44.162;20.231.239.246,3600,593
doubleverify.com.,199.60.103.65;199.60.103.165,199.60.103.165;199.60.103.65,900,372
capcutapi.com.,,,-1,-1
samsungapps.com.,213.71.30.154,213.71.30.154,300,239
amp-endpoint3.com.,,,-1,-1
creativecdn.com.,185.184.8.90,185.184.8.90,98,254
accountcapabilities-pa.googleapis.com.,172.217.4.202;142.251.34.234;142.250.191.170;142.250.190.74;142.250.191.138;172.217.2.42;172.217.4.42;142.250.191.202;142.250.191.234;142.250.190.10;142.250.190.42;142.251.32.10;172.217.1.106;142.250.191.106;142.250.190.138;142.250.190.106,142.250.190.106;142.250.190.138;142.250.190.74;172.217.4.74;142.250.191.138;172.217.1.106;142.251.34.234;172.217.4.202;142.250.190.42;142.250.190.10;142.250.191.106;142.250.191.202;172.217.2.42;142.250.191.170;142.250.191.234;142.251.32.10,8,300
everesttech.net.,208.91.169.4,208.91.169.4,300,300
resolver.arpa.,,,-1,-1
3lift.com.,99.84.203.115;99.84.203.58;99.84.203.5;99.84.203.126,99.84.203.58;99.84.203.115;99.84.203.5;99.84.203.126,60,60
gmail.com.,142.250.190.101,142.250.191.197,232,300
amp-endpoint2.com.,,,-1,-1
cloudflareinsights.com.,104.16.79.73;104.16.80.73,104.16.79.73;104.16.80.73,192,300
